,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
play,1,"遊ぶ
あそぶ",asobu,,,,,,,,

play (string instrument),1,"弾く
ひく",hiku,,,,,,,,

pledge,1,,chigiru,,,,,,,,

"plot, scheme",1,"企む
たくらむ",takuramu,,,,,,,,

"pluck, pick, tear",1,,mushiru,,,,,,,,

"point out, sting, stab",1,"刺す
さす",sasu,,,,,,,,

polish,1,"磨く
みがく",migaku,,,,,,,,

"ponder, contemplate",1,,omoiiru,,,,,,,,

"postpone, extend",1,のばす,nobasu,,,,,,,,

"pour, let flow",1,"流がす
ながす",nagasu,,,,,,,,

praise,2,"褒める
ほめる",homeru,,,,,,,,

"pray, wish for",1,"祈る
いのる",inoru,,,,,,,,

"produce, give birth, lay eggs",1,,umu,,,,,,,,

"profit, make money",2,"儲ける
もうける",mokeru,,,,,,,,

protect,1,"守る
まもる",mamoru,,,,,,,,

"protect, look after",1,"庇う
かばう",kabau,,,,,,,,

pull,1,"引く
ひく",hiku,,,,,,,,

"punch, hit",1,"殴る
なぐる",naguru,,,,,,,,

"push, press",1,"押す
おす",osu,,,,,,,,

put away,1,しまう,shimau,,,,,,,,

"put in, let in",2,"入れる
いれる",ireru,,,,,,,,

"put on top off, put on board",2,のせる,noseru,,,,,,,,

"put on, wear (on feet or legs - trousers/shoes etc)",1,"履く
はく",haku,,,,,,,,

"put, place",1,"置く
おく",oku,,,,,,,,

"raise (a flag), hold up",2,"掲げる
かかげる",kakageru,,,,,,,,

reach,1,"届く
とどく",todoku,,,,,,,,

"reach, extend to",1,"及ぶ
およぶ",oyobu,,,,,,,,

read,1,"読む
よむ",yomu,,,,,,,,

rebuke,1,,najiru,,,,,,,,

"receive, accept",1,,uketoru,,,,,,,,

"receive, get",1,"貰う
もらう",morau,,,,,,,,

"reduce, decrease",1,"減らす
へらす",herasu,,,,,,,,

"refuse, decline",1,"断わる
ことわる",kotowaru,,,,,,,,

"regret, be reluctant",1,"惜しむ
おしむ",oshimu,,,,,,,,

"remember, learn",2,"覚える
おぼえる",oboeru,,,,,,,,

"remove, unfasten",1,"外す
はずす",hazusu,,,,,,,,

"repair, cure",1,"直す
なおす",naosu,,,,,,,,

